194
267 0 0
267 1 1
267 2 2
268 0 3
268 1 4
268 2 5
269 0 6
269 1 7
269 2 8
320 0 9
320 1 10
320 2 11
389 0 12
389 1 13
389 2 14
390 0 15
390 1 16
390 2 17
391 0 18
391 1 19
391 2 20
494 0 21
494 1 22
494 2 23
495 0 24
495 1 25
495 2 26
496 0 27
496 1 28
496 2 29
497 0 30
497 1 31
497 2 32
498 0 33
498 1 34
498 2 35
499 0 36
499 1 37
499 2 38
500 0 39
500 1 40
500 2 41
501 0 42
501 1 43
501 2 44
502 0 45
502 1 46
502 2 47
322 0 48
322 1 49
322 2 50
323 0 51
323 1 52
323 2 53
324 0 54
324 1 55
324 2 56
325 0 57
325 1 58
325 2 59
326 0 60
326 1 61
326 2 62
327 0 63
327 1 64
327 2 65
328 0 66
328 1 67
328 2 68
329 0 69
329 1 70
329 2 71
330 0 72
330 1 73
330 2 74
331 0 75
331 1 76
331 2 77
332 0 78
332 1 79
332 2 80
333 0 81
333 1 82
333 2 83
334 0 84
334 1 85
334 2 86
335 0 87
335 1 88
335 2 89
336 0 90
336 1 91
336 2 92
337 0 93
337 1 94
337 2 95
295 0 96
295 1 97
295 2 98
296 0 99
296 1 100
296 2 101
297 0 102
297 1 103
297 2 104
298 0 105
298 1 106
298 2 107
299 0 108
299 1 109
299 2 110
300 0 111
300 1 112
300 2 113
301 0 114
301 1 115
301 2 116
303 0 117
303 1 118
303 2 119
392 0 120
392 1 121
392 2 122
393 0 123
393 1 124
393 2 125
394 0 126
394 1 127
394 2 128
395 0 129
395 1 130
395 2 131
396 0 132
396 1 133
396 2 134
397 0 135
397 1 136
397 2 137
398 0 138
398 1 139
398 2 140
399 0 141
399 1 142
399 2 143
400 0 144
400 1 145
400 2 146
401 0 147
401 1 148
401 2 149
402 0 150
402 1 151
402 2 152
403 0 153
403 1 154
403 2 155
404 0 156
404 1 157
404 2 158
405 0 159
405 1 160
405 2 161
406 0 162
406 1 163
406 2 164
407 0 165
407 1 166
407 2 167
408 0 168
408 1 169
408 2 170
410 0 171
410 1 172
410 2 173
411 0 174
411 1 175
411 2 176
412 0 177
412 1 178
412 2 179
413 0 180
413 1 181
413 2 182
414 0 183
414 1 184
414 2 185
415 0 186
415 1 187
415 2 188
416 0 189
416 1 190
416 2 191
